"nama_depan","nama_belakang","gender","foto","tingkat","id_prov","id_kab","id_kec","id_partai","id_dapil","no_urut","status"
"H. EDI ","SAYUDI","l","default_avatar.jpg","e",1,1,1,1,1,1,"l"
"FAISHOL ","NUR, S.Si.","l","default_avatar.jpg","e",1,1,3,1,1,2,"l"
"KASTAMAH","NULL","p","default_avatar.jpg","e",1,1,1,1,1,3,"l"
"Drs.H. FANDHIL","NULL","l","default_avatar.jpg","e",1,1,2,1,1,4,"l"
"H. FATONI, S.H.","NULL","l","default_avatar.jpg","e",1,1,1,1,1,5,"l"
"Hj. FAJAR SRI ","SETYORINI MALIHAH, S.Pd.I.","p","default_avatar.jpg","e",1,1,2,1,1,6,"l"
"MOCH ALI ","MURTADLO","l","default_avatar.jpg","e",1,1,1,1,1,7,"l"
"SUNIPAN, S.Pd.I.","NULL","l","default_avatar.jpg","e",1,1,2,1,1,8,"l"
"NAILI INAYATI ","NOOR, S.H.I.","p","default_avatar.jpg","e",1,1,1,1,1,9,"l"
"BURHANUDIN ","ALAWI","l","default_avatar.jpg","e",1,1,1,1,1,10,"l"
"ALFIYATUR ","ROHMANIYAH","p","default_avatar.jpg","e",1,1,1,1,1,11,"l"
"SUKARMIN","NULL","l","default_avatar.jpg","e",1,1,1,1,1,12,"l"
"ZAYINUL ","FATA, S.E.","l","default_avatar.jpg","e",1,1,6,1,2,1,"l"
"Drs. H. SYAFII ","AFANDI, S.Pd.","l","default_avatar.jpg","e",1,1,6,1,2,2,"l"
"FAHRIYAH","NULL","p","default_avatar.jpg","e",1,1,6,1,2,3,"l"
"NUR ","FADLAN, S.Ag.","l","default_avatar.jpg","e",1,1,5,1,2,4,"l"
"AHID MIFTAH","NULL","l","default_avatar.jpg","e",1,1,6,1,2,5,"l"
"USWATUN ","KASANAH, S.Pd.I.","p","default_avatar.jpg","e",1,1,6,1,2,6,"l"
"SA'RONI, S.H., M.M.","NULL","l","default_avatar.jpg","e",1,1,6,1,2,7,"l"
"ELY ","ZULIYANTI","p","default_avatar.jpg","e",1,1,6,1,2,8,"l"
"MUH ","MAS`UT","l","default_avatar.jpg","e",1,1,7,1,3,1,"l"
"H. GHOZALI, S.Pd.I.","NULL","l","default_avatar.jpg","e",1,1,8,1,3,2,"l"
"NUR ","HANIDA","p","default_avatar.jpg","e",1,1,9,1,3,3,"l"
"KHAFIDHUL ","IMAM, S.Pd.I.","l","default_avatar.jpg","e",1,1,9,1,3,4,"l"
"H. ISA ANSORI, S.T.","NULL","l","default_avatar.jpg","e",1,1,8,1,3,5,"l"
"NAFIS ","KHOIRUN NILAWATI","p","default_avatar.jpg","e",1,1,9,1,3,6,"l"
"MUZASAROH, S.Pd.","NULL","p","default_avatar.jpg","e",1,1,7,1,3,7,"l"
