nama_depan,nama_belakang,gender,foto,tingkat,id_prov,id_kab,id_kec,id_partai,id_dapil,no_urut,status
Hj. Nur,"Saadah, S.Pd.I, MH",p,default_avatar.jpg,d,1,1,,1,8,1,l
H. Ahmad ,"Zaki, S.Hi",l,default_avatar.jpg,d,1,1,,1,8,2,l
HM. Nur ,"Khabsyin, S.Pd",l,default_avatar.jpg,d,1,1,,1,8,3,l
Mohamad ,Ali Chabib,l,default_avatar.jpg,d,1,1,,1,8,4,l
Sri,Solichatul Umami,p,default_avatar.jpg,d,1,1,,1,8,5,l
Khamdun,Khiyarudin Misbah,l,default_avatar.jpg,d,1,1,,1,8,6,l
Nuril,"Khasanatun Nisak, S.Pd.I",p,default_avatar.jpg,d,1,1,,1,8,7,l
Alex ,Yusron Al Mufti,l,default_avatar.jpg,d,1,1,,1,8,8,l
Mutiara,"Choirunnisa, SE",p,default_avatar.jpg,d,1,1,,1,8,9,l
A. Bahrul,Amiq,l,default_avatar.jpg,d,1,1,,1,8,10,l
Hj. Sri ,"Hartini, ST",p,default_avatar.jpg,d,1,1,,2,8,1,l
H. Chumaimudin,,l,default_avatar.jpg,d,1,1,,2,8,2,l
M. Iqbal ,Faishol,l,default_avatar.jpg,d,1,1,,2,8,3,l
Savista ,Mada Humans,p,default_avatar.jpg,d,1,1,,2,8,4,l
Zainal ,Abidin,l,default_avatar.jpg,d,1,1,,2,8,5,l
Anwar ,Said,l,default_avatar.jpg,d,1,1,,2,8,6,l
Slamet ,Sukirno,l,default_avatar.jpg,d,1,1,,2,8,7,l
Wahyu ,Setiawan Bagus P,l,default_avatar.jpg,d,1,1,,2,8,8,l
Siti Nur ,"Malikhah, S.H.I",p,default_avatar.jpg,d,1,1,,2,8,9,l
Asri ,Budi Utomo,p,default_avatar.jpg,d,1,1,,2,8,10,l
Denny ,"Nurcahyanto, SE",l,default_avatar.jpg,d,1,1,,3,8,1,l
Andang ,"Wahyu Triyanto, SE",l,default_avatar.jpg,d,1,1,,3,8,2,l
