"nama_depan","nama_belakang","gender","foto","tingkat","id_prov","id_kab","id_kec","id_partai","id_dapil","no_urut","status"
"Drs. FATHAN","NULL","l","default_avatar.jpg","c",1,1,"NULL",1,7,1,"l"
"HINDUN","ANISAH, S.Ag","p","default_avatar.jpg","c",1,1,"NULL",1,7,2,"l"
"MUHAMMAD","MUNJAZIM","l","default_avatar.jpg","c",1,1,"NULL",1,7,3,"l"
"MOCH","BASUNI, ST","l","default_avatar.jpg","c",1,1,"NULL",1,7,4,"l"
"H. HASAN","FATONI, SH","l","default_avatar.jpg","c",1,1,"NULL",1,7,5,"l"
"SRI","NURYATI, S.AQ","p","default_avatar.jpg","c",1,1,"NULL",1,7,6,"l"
"MU’ASYAROH, SH.I","NULL","p","default_avatar.jpg","c",1,1,"NULL",1,7,7,"l"
"ABDUL","WACHID","l","default_avatar.jpg","c",1,1,"NULL",2,7,1,"l"
"AHMAD","YANUAR RIKZA","l","default_avatar.jpg","c",1,1,"NULL",2,7,2,"l"
"IQLIMA","ROIHANI","p","default_avatar.jpg","c",1,1,"NULL",2,7,3,"l"
"SYARONI, SEI","NULL","l","default_avatar.jpg","c",1,1,"NULL",2,7,4,"l"
"MUAYANAH, S.Ag","NULL","p","default_avatar.jpg","c",1,1,"NULL",2,7,5,"l"
"SARI","RIFYANJANI, S.Kom","p","default_avatar.jpg","c",1,1,"NULL",2,7,6,"l"
"H. GHUFRONI","NULL","l","default_avatar.jpg","c",1,1,"NULL",2,7,7,"l"
"DARYATMO","MARDIYAN","l","default_avatar.jpg","c",1,1,"NULL",3,7,1,"l"
"GILANG","DHIELAFARAR","l","default_avatar.jpg","c",1,1,"NULL",3,7,2,"l"
"Ir. HERU ","MULYATI","l","default_avatar.jpg","c",1,1,"NULL",3,7,3,"l"
"DR. H. MUSTHOFA, SE","NULL","l","default_avatar.jpg","c",1,1,"NULL",3,7,4,"l"
"TAMARA","TAMBUNAN","p","default_avatar.jpg","c",1,1,"NULL",3,7,5,"l"
"R. YANNE ","YOLANDARI ","p","default_avatar.jpg","c",1,1,"NULL",3,7,6,"l"
"INDRA ","AULIA NUGRAHA","l","default_avatar.jpg","c",1,1,"NULL",3,7,7,"l"
"DANY","SOEDARSONO","l","default_avatar.jpg","c",1,1,"NULL",4,7,1,"l"
"H. BOWO ","SIDIK PANG","l","default_avatar.jpg","c",1,1,"NULL",4,7,2,"l"
"NUR ","YAHMAN, SH","l","default_avatar.jpg","c",1,1,"NULL",4,7,3,"l"
"BUDIANTO ","TARIGAN","l","default_avatar.jpg","c",1,1,"NULL",4,7,4,"l"
"RATIH ","DEWANTI","p","default_avatar.jpg","c",1,1,"NULL",4,7,5,"l"
"HERLINAWATI","NULL","p","default_avatar.jpg","c",1,1,"NULL",4,7,6,"l"
"NUSRON ","WAHID","l","default_avatar.jpg","c",1,1,"NULL",4,7,7,"l"
"LESTARI","MOERDIJAT","p","default_avatar.jpg","c",1,1,"NULL",5,7,1,"l"
"Ir. ALI ","MAHIR, MM","l","default_avatar.jpg","c",1,1,"NULL",5,7,2,"l"
"ENDANG ","SUSILOWATI","p","default_avatar.jpg","c",1,1,"NULL",5,7,3,"l"
"H.SOLIKHIN, ST, MT","NULL","l","default_avatar.jpg","c",1,1,"NULL",5,7,4,"l"
"H. IDHAM ","KHOLID, SH, MH","l","default_avatar.jpg","c",1,1,"NULL",5,7,5,"l"
"SRI ","HARTINI","p","default_avatar.jpg","c",1,1,"NULL",5,7,6,"l"
"GANTYO ","KOESPRADONO","l","default_avatar.jpg","c",1,1,"NULL",5,7,7,"l"
"NELY ","RAHMAWATI ","p","default_avatar.jpg","c",1,1,"NULL",16,7,1,"l"
"TEGUH ","SETIAWAN","l","default_avatar.jpg","c",1,1,"NULL",16,7,2,"l"
"ILHAM ","SETIAWAN","l","default_avatar.jpg","c",1,1,"NULL",16,7,3,"l"
"PANDUWINATA ","FN","p","default_avatar.jpg","c",1,1,"NULL",6,7,1,"l"
"ROCHMIYATI","NULL","p","default_avatar.jpg","c",1,1,"NULL",6,7,2,"l"
"RENI ","HARDITA ","p","default_avatar.jpg","c",1,1,"NULL",6,7,3,"l"
"KRT. ","CHRISNA ","p","default_avatar.jpg","c",1,1,"NULL",6,7,4,"l"
"Ir. ERDI ","NURKITO, MT","l","default_avatar.jpg","c",1,1,"NULL",6,7,5,"l"
"H. MUHSININ ","FAUZI","l","default_avatar.jpg","c",1,1,"NULL",7,7,1,"l"
"H. AHMADI, A.Md","NULL","l","default_avatar.jpg","c",1,1,"NULL",7,7,2,"l"
"AMANATUL ","HUSNA, S.Pi","p","default_avatar.jpg","c",1,1,"NULL",7,7,3,"l"
"ADY ","SUPRATIKTO","l","default_avatar.jpg","c",1,1,"NULL",7,7,4,"l"
"SURTINI","NULL","p","default_avatar.jpg","c",1,1,"NULL",7,7,5,"l"
"SISWADI ","SELODIPOERO","l","default_avatar.jpg","c",1,1,"NULL",8,7,1,"l"
"DWI ","PUTRA BUDIYANTO, SH","l","default_avatar.jpg","c",1,1,"NULL",8,7,2,"l"
